#gene	sample1	sample2	sample3	sample7	sample8	sample9
ABCC1	3660	2350	1576	924	1281	2951
ABCC6	599	588	447	266	348	550
NOMO3	3322	2735	2861	3752	2074	1770
AC138969.4	5171	8679	13843	3160	3930	10452
NPIPA7	251	870	247	465	355	727
XYLT1	10110	9086	5764	3158	4560	4706
NPIPA8	562	584	356	365	475	491
RP11-1212A22.4	2163	2596	1468	1104	2607	2312
NOMO2	2483	3878	2968	3033	2793	1362
RPS15A	131	89	360	104	127	117
RP11-1035H13.3	4191	5707	10396	6902	3701	7845
ARL6IP1	4033	3640	7840	4481	5135	4436
SMG1	2432	1554	5326	2780	1298	2470
TMC7	634	263	326	354	709	272
COQ7	9313	2471	6861	4555	1425	1247
ITPRIPL2	1543	4588	3920	3687	6440	2758
CTD-2349B8.1	6879	8694	8307	8840	11522	5427
SYT17	2301	2116	3533	3035	1834	1715
CLEC19A	4486	2793	2424	3957	2592	5085
TMC5	2923	7888	7315	5053	2335	4648
GDE1	647	566	410	702	258	374
CCP110	2168	2065	2145	1296	1883	1231
C16orf62	2537	2860	1780	2265	1069	2335
KNOP1	1355	2446	2422	2403	940	1427
IQCK	99	221	217	100	224	118
GPRC5B	4311	7418	13077	4195	3287	3473
GPR139	3617	2251	2117	2205	1345	1302
GP2	5360	4388	3711	2314	1714	4157
UMOD	13119	10204	10232	15077	11877	10594
PDILT	3269	3613	3732	6707	5844	2110
ACSM5	1021	905	793	812	377	593
ACSM2A	3631	5874	8147	8754	6272	4259
ACSM2B	2317	776	1291	1100	1327	520
ACSM3	296	189	63	70	52	182
ACSM1	5007	743	4810	2308	3971	2158
THUMPD1	229	133	272	65	100	100
ERI2	1300	701	863	381	621	475
AC004381.6	4339	5881	5240	6507	5584	4784
DCUN1D3	7064	2360	4624	2944	3435	2473
LYRM1	126	203	91	151	89	144
DNAH3	2733	3622	1180	2320	4042	3120
TMEM159	1355	796	2465	747	1088	1025
ZP2	779	569	838	794	1484	504
ANKS4B	272	111	363	312	631	385
CRYM	5696	6512	5566	6426	9435	4391
NPIPB3	780	200	739	468	453	449
METTL9	6414	6979	6151	2850	8760	2723
IGSF6	1415	3020	1437	1125	1792	862
OTOA	4976	4776	3052	4842	4851	3760
NPIPB4	3760	1948	2242	1805	1575	1881
UQCRC2	2622	4310	2917	2536	1891	2927
PDZD9	6324	4922	10317	3085	10145	5180
C16orf52	5330	2166	4208	3510	3527	4702
VWA3A	153	347	81	131	147	382
SDR42E2	204	585	389	306	365	642
EEF2K	10953	12645	3129	3600	2565	3794
POLR3E	9380	9215	4849	4488	5456	2747
CDR2	159	148	141	186	91	53
NPIPB5	12	7	22	17	3	19
HS3ST2	3622	8594	4111	3153	2088	2415
USP31	559	531	578	221	372	388
SCNN1G	2026	2082	1535	1232	1373	1164
SCNN1B	6035	10568	8824	7424	12337	6314
COG7	54	31	119	56	83	77
GGA2	5729	6462	5956	2959	2369	4323
EARS2	2600	2376	2416	2009	1599	1993
UBFD1	3381	7883	9123	6897	4750	5602
NDUFAB1	7559	7869	6884	8392	3995	6773
PALB2	27	17	45	5	20	9
DCTN5	5555	4884	5809	3393	3492	2834
PLK1	2849	3252	2313	2566	2097	1209
ERN2	68	58	93	37	63	41
CHP2	3212	3697	5112	3160	5194	5612
PRKCB	1452	340	409	871	1230	763
CACNG3	3260	3499	2867	1452	2511	2186
RBBP6	29	25	27	34	35	39
TNRC6A	4367	2394	2450	1493	1228	2830
SLC5A11	256	186	136	314	222	112
ARHGAP17	294	1456	372	569	250	471
LCMT1	348	305	361	381	217	225
AQP8	9407	9738	21051	8253	6860	9581
ZKSCAN2	3978	3215	1710	3032	4191	1194
HS3ST4	167	50	179	103	157	144
C16orf82	6878	1958	4486	2717	1280	3027
KDM8	5546	4347	5077	3863	5655	6123
NSMCE1	916	912	561	732	539	677
IL4R	1790	1261	2702	1571	2405	1920
IL21R	2223	3201	1537	1619	1586	2621
GTF3C1	312	170	192	188	146	101
KIAA0556	6381	12791	19648	7925	5397	8365
GSG1L	180	292	251	161	284	157
XPO6	2221	1031	1066	1206	1427	1315
SBK1	440	1758	1080	1302	1282	755
NPIPB6	9090	13384	7135	15090	5161	7844
EIF3CL	2145	1514	1237	1093	1364	893
RP11-435I10.4	8390	4854	8617	5106	3910	4096
NPIPB7	2274	6244	7595	3039	7439	1828
CLN3	14187	13598	12768	7408	8785	4632
APOBR	2631	4845	1177	3789	2491	4171
IL27	25	32	61	25	37	59
NUPR1	2476	4039	5982	1481	4334	1504
SGF29	1	1	0	1	0	2
SULT1A2	1707	2239	1018	748	1865	785
SULT1A1	2640	2360	2762	1892	1531	2150
NPIPB8	39	118	37	49	16	52
EIF3C	7966	9073	5906	6450	3593	6087
NPIPB9	1271	511	1582	1022	408	953
ATXN2L	1444	3609	2022	2222	2189	1167
TUFM	1747	1223	1268	894	930	949
SH2B1	4045	8877	9166	4913	6107	5561
ATP2A1	2177	3483	1480	696	2086	1653
RABEP2	1302	3122	3379	2887	4080	1718
CD19	1040	2354	1235	1203	1008	1278
NFATC2IP	3430	5934	15757	6381	6541	5110
SPNS1	3834	5155	5511	3140	2695	2220
LAT	8074	6495	3633	3537	1654	1279
NPIPB11	15	8	13	16	7	14
BOLA2	25	49	44	58	42	42
RP11-345J4.5	1372	668	289	604	501	991
SLX1B	238	248	61	123	118	110
SULT1A4	6295	3588	6581	4555	6484	4952
RP11-345J4.3	259	176	1260	418	273	563
RP11-231C14.4	37	16	31	44	35	11
SPN	2520	2322	4413	3308	1888	3387
AC009133.22	1509	803	1013	699	824	1335
QPRT	337	269	474	309	308	539
C16orf54	211	241	637	354	487	354
ZG16	39732	13418	15723	8512	5747	10649
KIF22	2469	1330	1560	1550	1416	1278
MAZ	769	1184	563	427	897	782
PRRT2	1605	1897	1491	1745	1365	1319
AC009133.23	4742	4356	3819	8239	4684	5433
PAGR1	4511	1096	4319	3264	3149	2550
CTD-2574D22.6	3677	7777	2381	5055	4100	4652
MVP	1125	1016	257	1832	653	1037
CDIPT	534	360	752	248	246	160
SEZ6L2	2237	559	1373	3225	1437	2212
ASPHD1	1115	1160	1336	662	698	552
KCTD13	6902	4308	4966	3319	3214	7399
TMEM219	8737	2522	3174	2913	4659	5301
TAOK2	3630	5364	2084	2386	2625	4147
HIRIP3	10473	4864	13458	4864	6098	6901
INO80E	1060	1024	594	1278	844	550
DOC2A	4699	3448	5222	3519	3129	2615
C16orf92	179	397	161	118	270	146
FAM57B	492	234	384	317	595	300
ALDOA	3536	4647	1658	2734	2334	3160
PPP4C	1719	4789	2709	3728	1300	6002
TBX6	6941	3735	2723	3229	3662	3671
YPEL3	5026	4014	3823	2900	4508	1375
GDPD3	15430	12030	20421	7247	7001	13087
MAPK3	1090	1678	1299	1897	1630	1355
CORO1A	793	633	460	574	326	210
BOLA2B	2931	4193	2762	1775	1956	4146
SLX1A	3314	4721	7356	3391	3994	6374
SULT1A3	261	170	176	300	165	249
RP11-347C12.3	9085	7730	8587	3788	1440	7019
RP11-347C12.1	300	827	691	462	745	751
CD2BP2	6018	2550	2061	2581	2633	2647
TBC1D10B	301	1330	849	669	521	507
MYLPF	605	255	518	706	495	320
ZNF48	1336	407	2086	1087	1001	1070
SEPT1	3430	10235	6552	4313	3485	4765
ZNF771	3268	1832	2741	3987	4276	685
DCTPP1	8086	7065	4727	15507	5928	8525
SEPHS2	1091	1007	1814	1033	610	2041
ITGAL	2043	3139	5738	1953	1607	2269
ZNF768	193	111	166	83	60	38
AC002310.11	10296	6623	5848	6147	5035	7695
ZNF747	7214	2557	3881	5671	6791	4345
AC002310.13	772	1762	1681	1188	1308	1046
ZNF764	1775	1949	747	2096	1411	1385
ZNF688	2676	2789	4251	2504	3168	2317
ZNF785	1035	1622	1152	512	1209	864
ZNF689	10919	5966	8540	10324	7340	8637
PRR14	945	437	988	695	2035	733
FBRS	1916	1051	933	848	760	980
SRCAP	12831	18259	7384	7949	13318	13485
RP11-2C24.9	2700	5062	2483	5248	5398	2894
TMEM265	5347	5535	5311	2054	3807	1802
PHKG2	7803	3820	5116	3143	5336	4197
CCDC189	3798	1939	3674	3236	795	1629
RNF40	424	514	1177	692	677	678
ZNF629	31	35	17	11	24	32
BCL7C	1839	917	1788	917	1442	804
CTF1	2593	4611	3184	4633	1756	1599
FBXL19	2182	4344	3911	3402	1599	2715
ORAI3	3730	2783	1981	2490	2102	2617
SETD1A	2737	2033	8121	4995	2802	4057
HSD3B7	111	609	89	214	346	141
STX1B	150	196	165	93	206	87
STX4	1024	1414	2857	1427	1533	2814
ZNF668	623	180	514	263	343	273
ZNF646	1536	1098	402	883	1113	762
PRSS53	4016	2559	1475	3128	702	1376
RP11-196G11.1	896	1470	1183	341	1100	1687
VKORC1	9118	8875	8813	8772	5442	6321
BCKDK	262	267	368	277	205	226
KAT8	203	242	244	258	227	143
PRSS8	500	1632	902	1028	1231	1637
PRSS36	297	545	1186	884	1704	607
FUS	774	1628	899	492	977	718
PYCARD	327	203	146	106	221	429
TRIM72	1089	661	978	274	996	1086
PYDC1	2683	2225	952	884	965	834
ITGAM	7802	6121	3587	2500	5376	6169
ITGAX	649	4532	3832	1895	1807	1848
ITGAD	136	237	265	174	87	121
COX6A2	5929	4539	5591	5069	3558	7985
ZNF843	410	580	692	470	318	583
ARMC5	476	322	263	347	627	381
TGFB1I1	171	107	184	144	250	122
SLC5A2	3695	5238	3310	2168	1686	2867
C16orf58	1706	1788	1925	1388	929	2377
AHSP	8817	6173	4765	4958	3230	3042
ZNF720	1064	685	244	620	235	360
ZNF267	2214	2955	2740	498	1187	1218
TP53TG3D	295	525	311	378	998	243
TP53TG3	490	391	256	123	222	271
TP53TG3C	2361	1363	1392	1905	1052	1261
TP53TG3E	1082	1860	1204	1014	916	590
TP53TG3B	4338	4131	8644	3637	5166	5404
TP53TG3F	1829	556	1599	958	911	1214
RP11-812E19.9	8774	9672	10750	7410	2943	3158
SHCBP1	8440	4114	8105	4619	2004	8105
VPS35	705	961	949	842	606	544
ORC6	6236	5640	6942	3592	8892	5687
MYLK3	367	243	342	297	125	170
C16orf87	139	112	110	152	120	172
GPT2	1597	2634	1265	325	1016	2322
DNAJA2	9435	3877	9905	6731	4100	3925
NETO2	4316	2667	2753	2194	5676	1395
ITFG1	1504	509	1520	1297	623	1201
PHKB	1355	1718	818	948	1137	1033
ABCC12	15830	7309	8392	10231	8904	3991
ABCC11	6325	3829	8682	3610	5095	4777
LONP2	2076	3381	2615	2001	984	887
SIAH1	1033	738	614	524	202	916
N4BP1	4012	3714	8815	1785	4784	4294
CBLN1	1500	2585	4944	1220	3046	1913
C16orf78	854	613	835	584	849	882
ZNF423	181	430	379	180	179	161
CNEP1R1	615	221	449	272	440	405
HEATR3	701	430	526	711	682	521
PAPD5	4425	4368	5879	6466	6758	2762
ADCY7	49	346	202	253	197	156
BRD7	3196	4149	4104	2271	4697	3842
NKD1	2585	3779	3037	3627	2516	3102
SNX20	508	715	722	556	802	296
NOD2	363	788	382	263	641	376
CYLD	8218	8835	10472	5162	5884	4189
SALL1	345	702	370	229	337	443
TOX3	1353	2285	2364	1857	1293	798
RP11-467J12.4	1940	1725	1754	3764	1434	3887
CHD9	5816	5696	2633	2558	5996	3359
AC007906.1	6243	5328	5299	2500	4165	4465
RBL2	490	573	581	713	328	758
AKTIP	14528	3294	8786	15305	6597	12166
RPGRIP1L	423	616	368	516	229	609
FTO	1754	1175	990	1198	244	819
IRX3	9021	6165	4042	9313	7698	4992
IRX5	219	106	207	176	159	96
IRX6	9144	4790	2470	3523	3894	4493
MMP2	2029	1792	946	1567	1386	1489
LPCAT2	904	1255	1238	513	1171	997
CAPNS2	910	421	493	526	611	655
SLC6A2	9653	7716	6666	3936	8909	3992
CES1	849	717	680	883	1142	658
CES5A	3333	4861	2037	4009	1225	3298
GNAO1	22250	10702	9884	10834	8934	15291
AMFR	2587	1990	1395	1466	1083	591
NUDT21	16786	17467	7904	11678	7870	9049
OGFOD1	2532	1874	1447	484	780	1450
BBS2	3302	2813	1837	1505	3211	632
MT4	3527	8059	8527	6428	3883	4333
MT3	443	614	292	164	192	355
MT2A	453	1291	642	769	1084	1072
MT1E	3190	5201	4771	2705	5619	5662
MT1M	706	249	853	493	548	358
MT1A	15	22	14	26	18	5
MT1B	574	1070	1288	1049	624	2045
MT1F	4001	2104	1898	1121	2216	1665
MT1G	397	418	520	549	450	758
MT1H	5387	6992	3289	3136	7039	4196
RP11-249C24.12	403	325	365	375	272	318
MT1X	4066	7207	6766	3098	2679	5604
NUP93	1519	758	1112	1068	205	935
SLC12A3	7992	3061	4023	6316	5365	3309
HERPUD1	26304	12270	33819	9727	13529	20853
CETP	2659	1353	3474	1971	1656	922
NLRC5	4566	8158	4854	4722	2768	5210
CPNE2	882	620	1050	303	239	658
FAM192A	701	2694	1043	1159	1076	1830
RSPRY1	1340	1816	2685	1970	660	1055
ARL2BP	346	463	350	342	157	277
PLLP	657	112	308	199	176	356
CCL22	387	299	576	55	205	106
CX3CL1	1336	2467	539	1075	670	1704
CCL17	2013	2314	2007	1176	806	2144
CIAPIN1	400	1250	1409	270	668	628
COQ9	1414	1504	1076	755	677	1575
POLR2C	4898	5355	5951	6214	7618	1973
DOK4	2450	3033	2411	2296	3067	2171
CCDC102A	2628	2809	2802	1008	1903	1770
ADGRG5	87	91	149	135	58	94
ADGRG1	20801	9937	4825	5014	5164	5588
ADGRG3	1588	3208	1727	2080	2252	2425
DRC7	8392	6359	4374	5078	4029	4462
KATNB1	9845	13843	6659	11096	6379	3743
KIFC3	1496	6512	4976	8442	4627	2254
CNGB1	2305	5637	2672	7540	911	6298
TEPP	281	360	547	1110	296	715
ZNF319	25	11	25	18	16	10
USB1	4138	1714	4049	1846	1684	1198
MMP15	7377	2598	3051	2503	6844	3553
CFAP20	3361	4163	8329	1718	3342	4231
CSNK2A2	964	1088	4375	1466	1146	3305
CCDC113	904	1644	2929	1417	2843	995
PRSS54	27	50	47	59	55	74
GINS3	4249	1392	2348	1778	2023	3132
NDRG4	3040	2180	508	401	1271	972
SETD6	3776	8620	6087	14064	6489	8620
CNOT1	223	195	307	279	104	84
AC010287.1	2210	1809	1787	2059	1460	2021
SLC38A7	356	568	278	576	313	498
GOT2	869	2162	931	812	1054	963
RP11-457D20.2	483	795	823	474	829	511
CDH8	1262	1730	2470	1757	1194	1338
CDH11	7085	5454	3544	2657	2897	7890
CDH5	6918	10787	9982	11984	22872	7141
BEAN1	5323	1926	1323	1741	2097	6283
RP11-403P17.5	716	560	1484	1580	439	497
TK2	249	252	151	183	305	83
CKLF	1939	3187	4303	1956	1171	1355
CKLF-CMTM1	2997	2778	2808	1354	2034	3193
CMTM1	1265	1006	3729	1689	2491	1043
CMTM2	906	439	418	233	431	359
CMTM3	13447	5768	8194	4441	10856	4973
CMTM4	1381	986	1824	1893	1298	1239
DYNC1LI2	3061	2957	4192	5614	4644	4278
TERB1	2221	2278	2168	2504	1707	2912
NAE1	7944	4658	4775	2690	6482	4393
CA7	119	215	123	159	189	63
PDP2	5849	8328	7825	6790	7132	3307
CDH16	269	164	155	578	398	205
RRAD	1255	444	904	604	300	288
FAM96B	2496	1234	2685	2343	1786	1795
CES2	3042	1794	3015	1660	2234	1508
CES3	3781	3023	2063	1673	1815	4109
CES4A	309	298	579	142	231	208
CBFB	910	722	1196	1181	566	208
C16orf70	18150	8362	14928	9914	13977	11744
B3GNT9	18750	9552	8865	4787	5699	12198
TRADD	799	1110	296	224	574	323
FBXL8	2520	1758	2438	1475	2511	3408
RP11-5A19.5	4929	3922	7703	5885	4904	5134
HSF4	2477	596	1076	1599	865	1403
NOL3	1255	742	831	982	540	796
KIAA0895L	21	26	5	25	11	24
EXOC3L1	2741	2159	2053	4314	1693	783
E2F4	5100	4565	3413	2963	3475	2804
ELMO3	6655	8780	8743	3671	7066	4058
LRRC29	5714	9546	8547	11017	4032	6555
TMEM208	1231	1115	1646	532	1085	607
FHOD1	2776	6167	5160	4018	4916	3768
SLC9A5	8240	10658	13917	17531	11025	9966
PLEKHG4	148	178	86	167	99	168
KCTD19	3123	6605	2696	3523	6528	1572
LRRC36	264	315	790	213	425	243
TPPP3	490	911	1124	556	570	1128
ZDHHC1	743	1215	800	393	1282	709
HSD11B2	3236	3473	2451	3945	1527	4499
ATP6V0D1	1844	2954	3926	4819	1654	5981
AGRP	11490	6270	3736	3327	4529	6210
FAM65A	6335	5951	7153	5736	6732	5367
AC027682.1	759	592	1281	776	884	185
CTCF	3369	2260	2186	1811	1633	2389
CARMIL2	458	418	254	355	535	777
ACD	5918	5001	3105	1320	1602	3775
PARD6A	5309	1562	4752	1306	3646	3219
ENKD1	273	563	210	297	255	253
C16orf86	156	264	235	333	340	189
GFOD2	2505	1632	2294	3052	1268	2707
RANBP10	4016	4947	2868	1150	2826	5093
TSNAXIP1	1469	1764	1360	1703	898	1860
CENPT	1675	1602	1851	1465	1525	2116
THAP11	7962	6487	2564	4161	2468	3072
NUTF2	6584	8622	9338	4361	9185	8438
EDC4	5361	2473	2647	2836	2968	1651
NRN1L	4728	1590	5124	2967	1121	3052
PSKH1	3988	4978	3335	2807	3781	4500
CTRL	752	761	381	587	781	428
CTC-479C5.12	246	274	268	450	434	204
PSMB10	4020	2117	2051	3130	1897	1964
LCAT	4107	3108	2880	5349	2430	2563
SLC12A4	921	693	303	831	452	265
DPEP3	3882	2224	3011	1690	1597	3723
DPEP2	1938	2980	1077	2049	1195	636
DUS2	3176	3685	4957	2617	4103	3413
CTC-479C5.6	3525	10651	7557	7831	3703	8718
DDX28	536	747	1715	451	860	706
NFATC3	1067	1108	1057	649	981	858
ESRP2	6021	7937	6074	6393	7709	8933
PLA2G15	732	842	362	417	445	413
SLC7A6	4386	4241	3016	6506	3628	2598
SLC7A6OS	2753	4979	3175	3520	2175	2729
PRMT7	726	511	421	469	557	596
SMPD3	3659	11005	2319	4139	5944	1223
ZFP90	5315	5296	5057	4614	3602	5584
CDH3	1466	1243	1227	2026	619	2769
CDH1	101	892	518	249	402	436
TANGO6	9577	11581	14457	6199	3115	13407
HAS3	2901	1639	1733	3441	1647	1610
CHTF8	4648	2712	4585	4379	4582	3028
UTP4	1019	1264	651	514	501	398
SNTB2	286	253	345	512	289	446
RP11-343C2.11	9910	5104	6156	5367	7669	4855
VPS4A	6739	6590	6092	2153	4632	4184
COG8	542	1353	844	364	450	271
PDF	1742	2439	707	909	1659	597
RP11-343C2.9	3257	3766	4454	7781	7786	9626
RP11-343C2.7	1593	5484	3980	3433	2023	1371
NIP7	6734	8218	14998	8461	10439	6883
TMED6	6138	5174	9358	3519	5200	6121
TERF2	4843	4676	9309	4324	2301	3016
CYB5B	1006	2385	1648	1078	642	568
NFAT5	12343	8809	17401	8046	5500	8131
NQO1	341	283	289	404	344	364
NOB1	1852	2053	2075	1174	556	1823
WWP2	8997	2173	7204	5164	4383	5546
CLEC18A	100	77	54	80	89	95
AC009022.1	4365	2105	2698	2757	2510	4535
PDPR	2561	4972	6443	1559	3223	5748
CLEC18C	817	1473	1195	926	442	1462
AC009060.1	1713	1455	451	2037	1341	835
AC009060.2	2995	1019	743	1233	1293	2264
EXOSC6	596	319	213	252	98	211
AARS	593	529	1359	792	1310	623
DDX19B	169	131	218	185	112	178
RP11-529K1.3	6668	8844	3834	2965	4176	3003
DDX19A	218	1076	509	1504	822	588
ST3GAL2	1771	757	904	1435	886	849
FUK	4481	3215	4090	4821	5325	2671
COG4	1433	2132	438	1355	2002	1317
SF3B3	501	625	875	508	323	700
IL34	3127	2251	2772	1660	3350	1334
MTSS1L	505	525	378	172	347	332
VAC14	6365	8380	5996	3194	4464	2950
HYDIN	451	453	388	293	311	315
CMTR2	749	333	1067	452	710	485
CALB2	3913	3031	1912	1400	2319	2078
ZNF23	322	652	363	102	301	315
AC010547.9	3418	2607	2594	2232	2253	5376
ZNF19	2989	1804	2725	2691	2216	2309
CHST4	734	1800	1467	1001	1157	1507
TAT	555	554	624	297	344	629
MARVELD3	1920	2768	1409	1696	1931	1861
PHLPP2	3948	3383	4245	2220	3557	3529
AP1G1	299	546	727	158	744	578
ATXN1L	2244	2912	3350	2123	2595	3966
IST1	1352	1001	1754	1801	1320	1548
ZNF821	1526	2529	739	2344	853	2754
PKD1L3	88	70	262	87	116	65
DHODH	8019	2766	8865	4309	3006	4997
TXNL4B	2660	1812	1909	2629	1973	1226
HP	12336	4929	5364	3320	3891	4699
HPR	3468	2170	2564	3161	4729	3445
DHX38	17330	12808	6040	11321	16216	7192
PMFBP1	1588	1672	2090	2425	3378	1913
AC004158.1	118	109	83	62	70	129
ZFHX3	2111	1310	1636	1649	1353	661
PSMD7	4036	1961	1296	1902	1204	1610
NPIPB15	119	333	668	597	416	350
CLEC18B	579	502	1257	1153	410	691
GLG1	2836	1861	1478	2036	1727	1005
RFWD3	1434	1634	5447	1824	2402	1792
MLKL	100	61	67	77	52	116
FA2H	2374	1430	3247	2209	913	3673
WDR59	235	270	269	293	191	233
ZNRF1	2077	1822	1426	1506	2167	1562
LDHD	1211	2453	2165	3384	3657	2650
ZFP1	1426	3016	3186	1578	746	1668
CTRB2	1406	1604	546	583	2140	2309
CTRB1	218	102	204	287	171	81
BCAR1	3206	3957	3609	6067	4727	4315
CFDP1	5119	4116	2825	1769	1192	1068
RP11-77K12.1	13396	19211	23716	27241	26059	23665
TMEM170A	3785	2142	3142	3153	4680	2496
CHST6	139	191	266	160	102	155
RP11-77K12.7	6171	3613	7733	4887	3317	2252
CHST5	1910	1497	1610	1651	1620	1271
TMEM231	3086	2689	2261	4097	9436	1940
GABARAPL2	526	1389	1041	444	381	296
ADAT1	16	9	5	11	10	22
KARS	4147	1708	1161	2566	2943	3286
TERF2IP	1383	2331	2756	1816	1887	3273
CNTNAP4	999	1472	879	733	592	1321
RP11-58C22.1	5821	2997	1818	3886	1960	1150
MON1B	2403	1585	2311	1043	1127	3672
SYCE1L	10881	11364	11548	5490	13406	17172
ADAMTS18	4014	1882	1587	1713	1511	1192
NUDT7	9166	12426	14153	10673	16753	7136
VAT1L	933	1111	1532	1490	1031	629
CLEC3A	657	366	469	375	185	400
WWOX	3192	1506	2606	1599	2886	2991
MAF	1917	5759	3015	4846	1201	2132
DYNLRB2	2529	2354	1870	2984	1104	1480
CDYL2	6413	4879	5717	4053	1440	2378
CMC2	2830	2783	2870	1413	1232	1291
CENPN	3459	2762	4619	8650	6289	1218
ATMIN	10799	2887	4891	4389	3418	4774
C16orf46	4215	2233	2400	3260	2559	1530
GCSH	13464	5204	9279	9341	14351	11869
AC092718.1	1903	2154	2114	1707	909	828
BCO1	1979	1344	3376	1543	1580	3244
GAN	3623	2729	2997	2114	1695	2785
CMIP	1924	1493	1431	1209	2042	1038
PLCG2	5029	3316	1984	2408	3630	2450
SDR42E1	2508	1374	1234	3121	833	3255
HSD17B2	2323	805	850	1027	1234	1262
MPHOSPH6	500	525	1152	601	249	402
CDH13	755	468	1471	888	1050	1094
HSBP1	57	32	46	16	40	16
MLYCD	7454	4260	2937	4964	2840	2718
RP11-505K9.4	9472	9912	9263	10980	14400	10450
OSGIN1	1109	847	274	430	621	540
NECAB2	2257	1937	5101	2468	2451	2211
SLC38A8	4321	7216	4191	6821	7366	11832
MBTPS1	568	590	283	294	275	671
HSDL1	1123	516	694	911	1087	814
DNAAF1	4878	3651	6389	6427	2299	4127
TAF1C	20	71	64	41	24	20
ADAD2	244	258	353	850	242	349
KCNG4	892	1139	2671	1000	965	933
WFDC1	7849	10116	4930	7132	5716	5294
ATP2C2	3073	1816	3120	985	1108	2892
TLDC1	4599	2376	2635	2364	4312	4125
COTL1	2700	2597	3323	1875	1410	1160
KLHL36	67	122	117	152	135	102
USP10	753	894	1029	341	360	442
CRISPLD2	8	7	7	3	5	2
ZDHHC7	103	193	242	78	282	344
KIAA0513	605	523	675	273	296	416
FAM92B	7850	3581	8047	4231	6134	5293
GSE1	8129	5535	2827	6178	3660	3420
GINS2	349	391	236	343	204	146
C16orf74	12005	11120	12262	9421	9976	4672
EMC8	59	182	114	71	124	60
COX4I1	6715	7635	6361	6141	1978	3985
IRF8	2762	4292	2657	4604	3608	2448
FOXF1	4416	3932	5644	9309	3673	5863
MTHFSD	1230	1086	1207	1490	2115	1100
FOXC2	1451	5486	6003	2917	2742	2587
FOXL1	1302	1790	2476	1339	3018	1056
C16orf95	4891	8268	5073	5136	3116	735
RP11-178L8.4	1435	2760	2269	2521	2713	3086
FBXO31	501	500	630	686	332	268
MAP1LC3B	5834	5210	7251	4855	5051	3937
ZCCHC14	649	433	570	1090	824	555
JPH3	17776	8568	14876	17073	12499	6264
KLHDC4	4140	1849	8283	4106	3738	2119
SLC7A5	3753	4372	4701	1658	5159	1582
CA5A	236	200	201	163	109	76
BANP	7732	5492	11689	4740	9656	9113
ZNF469	9382	7682	13696	4957	13042	6969
ZFPM1	1334	335	665	631	765	260
ZC3H18	1680	1451	1245	1380	1440	828
IL17C	2146	3375	2998	1377	2018	2413
CYBA	5685	8173	9352	1987	4515	6184
MVD	584	696	430	259	264	312
SNAI3	1336	1797	2817	3957	2001	2828
AC138028.1	7623	6224	6848	5920	1403	3020
RNF166	2082	2529	810	2442	3512	643
CTU2	838	687	799	748	225	594
PIEZO1	42	37	25	17	19	34
CDT1	617	848	936	882	871	1606
APRT	2756	3027	2716	1899	578	1606
GALNS	511	549	684	441	285	215
AC092384.1	3330	3064	2516	1540	4158	5086
TRAPPC2L	9819	6484	10563	3124	2787	3942
PABPN1L	1528	1727	1196	346	1101	507
CBFA2T3	5000	1706	2987	3069	1172	1201
ACSF3	5228	7111	7337	4049	7151	6315
CDH15	3207	1751	2733	5820	6774	2855
SLC22A31	914	639	592	707	220	607
ZNF778	4456	2727	3066	1964	3267	5163
ANKRD11	54	79	109	82	19	116
SPG7	442	936	526	699	572	649
RPL13	655	716	730	381	363	316
CPNE7	715	633	794	497	807	241
DPEP1	8035	4839	3074	8586	3623	4096
CHMP1A	898	1017	891	1475	1312	936
SPATA33	2	2	1	1	0	2
CDK10	1243	1467	1201	428	1836	1157
SPATA2L	474	481	797	513	498	305
VPS9D1	12565	5796	9099	5626	4332	3917
ZNF276	638	521	557	363	294	346
FANCA	2035	1624	2092	1673	1600	2261
SPIRE2	2234	4609	2745	6276	2244	4124
TCF25	476	860	730	457	508	281
MC1R	8534	5665	9812	7228	4040	4488
RP11-566K11.2	2564	2104	2251	1827	984	1200
TUBB3	3155	1459	940	1444	1519	1201
DEF8	5137	2447	6050	4617	5535	3338
CENPBD1	2244	1371	1221	1804	1612	906
DBNDD1	3446	2756	2064	2095	2337	1242
GAS8	1276	1338	1440	2900	2679	2799
PRDM7	932	1081	1158	2056	325	1397
SCGB1C2	1817	1772	1573	1920	1660	1546
DOC2B	1591	413	1393	1294	346	1271
RPH3AL	7243	2207	4561	5808	4729	3187
C17orf97	4099	8001	4581	5412	3921	5156
FAM101B	524	440	441	941	335	522
VPS53	5096	886	1736	764	471	1799
FAM57A	1470	3086	2525	1925	1724	3945
GEMIN4	2602	4407	1334	2068	926	2362
GLOD4	5775	2965	3470	11101	2539	3837
AC087392.1	543	1646	2472	751	1015	979
MRM3	9358	5871	8731	9574	3496	8155
NXN	495	1482	1303	776	779	1174
TIMM22	7435	7864	5749	7453	3737	7810
ABR	4962	2552	4488	5136	6619	7119
BHLHA9	1540	2009	2680	1858	474	1024
TUSC5	116	233	172	80	54	62
YWHAE	5258	4795	3703	2945	3667	2922
CRK	501	688	658	444	193	382
MYO1C	473	1023	289	653	449	363
INPP5K	369	877	1181	546	301	337
PITPNA	2106	2202	2201	1292	339	1172
SLC43A2	3618	4598	6867	5281	4683	3020
SCARF1	896	280	1652	583	657	401
RILP	5696	6158	6019	3559	8318	5627
PRPF8	1191	1291	252	574	833	443
